route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000036,OCESN12264F3155567:2024-09-25T00:19:05Z,12264,0,39,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12264F3337263:2024-10-07T00:33:12Z,12264,0,40,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12266F3153917:2024-09-25T00:19:05Z,12266,0,41,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000039,OCESN12266F3300134:2024-10-08T00:31:46Z,12266,0,42,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000040,OCESN12267F2665670:2024-09-25T00:19:05Z,12267,1,43,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000041,OCESN12267F3132143:2024-10-12T00:35:06Z,12267,1,44,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000042,OCESN12267F3153058:2024-10-01T00:19:58Z,12267,1,45,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000025,OCESN12267F3155245:2024-10-08T00:31:46Z,12267,1,46,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000043,OCESN12267F3161624:2024-10-01T00:19:58Z,12267,1,47,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000018,OCESN12267F3161625:2024-10-01T00:19:58Z,12267,1,48,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000044,OCESN12267F3162805:2024-10-13T00:47:17Z,12267,1,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000045,OCESN12268F3228335:2024-09-25T00:19:05Z,12268,0,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000046,OCESN12268F3378289:2024-10-08T00:31:46Z,12268,0,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12268F3445105:2024-09-25T00:19:05Z,12268,0,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000026,OCESN12270F3091776:2024-10-13T00:47:17Z,12270,0,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000047,OCESN12270F3091778:2024-09-25T00:19:05Z,12270,0,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12271F3300092:2024-10-12T00:35:06Z,12271,1,55,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12271F3300093:2024-10-13T00:47:17Z,12271,1,56,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12273F3300318:2024-09-25T00:19:05Z,12273,1,57,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12273F3383645:2024-09-25T00:19:05Z,12273,1,58,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000044,OCESN12273F3391268:2024-10-13T00:47:17Z,12273,1,59,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12273F3391269:2024-10-12T00:35:06Z,12273,1,60,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000032,OCESN12274F3264965:2024-10-07T00:33:12Z,12274,0,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12275F3096017:2024-10-08T00:31:46Z,12275,1,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000051,OCESN12276F2586071:2024-10-12T00:35:06Z,12276,0,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000052,OCESN12276F3300070:2024-10-11T00:34:04Z,12276,0,64,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000018,OCESN12295F3154324:2024-09-25T00:19:05Z,12295,1,65,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000053,OCESN12295F3292204:2024-10-08T00:31:46Z,12295,1,66,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2051F3281440:2024-10-10T00:45:48Z,2051,0,67,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000055,OCESN2051F3311876:2024-10-09T00:32:19Z,2051,0,68,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000056,OCESN2057F3516505:2024-10-13T00:47:17Z,2057,0,69,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000013,OCESN2058F3427690:2024-10-09T00:32:19Z,2058,1,70,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000057,OCESN2060F3392358:2024-10-13T00:47:17Z,2060,1,71,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000058,OCESN2061F3521113:2024-10-11T00:34:04Z,2061,0,72,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000025,OCESN2061F3521114:2024-10-12T00:35:06Z,2061,0,73,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000059,OCESN2062F3333347:2024-10-10T00:45:48Z,2062,1,74,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000060,OCESN2062F3364548:2024-10-09T00:32:19Z,2062,1,75,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000061,OCESN2062F3392166:2024-10-09T00:32:19Z,2062,1,76,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000025,OCESN2062F3403413:2024-10-09T00:32:19Z,2062,1,77,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2062F3403571:2024-10-09T00:32:19Z,2062,1,78,
